,Iteration,Train Loss,Test Loss
0,0,0.5869489,0.59602994
1,10,0.58226854,0.5857212
2,20,0.5680349,0.5761782
3,30,0.56120574,0.5625523
4,40,0.5553999,0.5568211
5,50,0.5471296,0.55513155
6,60,0.5200771,0.5402756
7,70,0.52152,0.52741486
8,80,0.50255334,0.51381826
9,90,0.48539498,0.49940258
10,100,0.4712341,0.4861135
11,110,0.46428537,0.46612975
12,120,0.46209553,0.46710053
13,130,0.4419385,0.44633016
14,140,0.43364838,0.453953
15,150,0.42978317,0.43718797
16,160,0.43188667,0.42413187
17,170,0.40904933,0.40899903
18,180,0.40321583,0.4177294
19,190,0.39548022,0.41819575
20,200,0.37433353,0.40736407
21,210,0.37777662,0.40419963
22,220,0.3796214,0.398935
23,230,0.39271942,0.40695262
24,240,0.37913653,0.3819682
25,250,0.35469374,0.3825409
26,260,0.35250983,0.3595695
27,270,0.3726627,0.35821438
28,280,0.36277962,0.36347178
29,290,0.3425931,0.35040033
30,300,0.3405986,0.35283273
31,310,0.34135616,0.3467521
32,320,0.3318443,0.36960042
33,330,0.32673866,0.33953753
34,340,0.32070088,0.328758
35,350,0.34779266,0.34684315
36,360,0.32274038,0.36883375
37,370,0.31188336,0.32553843
38,380,0.3363353,0.32146698
39,390,0.31285834,0.3688455
40,400,0.32375914,0.31465536
41,410,0.3083297,0.31067836
42,420,0.3042199,0.34068906
43,430,0.3027307,0.3054571
44,440,0.3198504,0.33445257
45,450,0.29897806,0.30601683
46,460,0.3335006,0.29315576
47,470,0.3026953,0.33543786
48,480,0.29849675,0.33222437
49,490,0.29464775,0.29487965
50,500,0.2965493,0.29631284
51,510,0.2826208,0.29743135
52,520,0.27873236,0.30295846
53,530,0.289209,0.29005888
54,540,0.2855632,0.32922032
55,550,0.284414,0.28650674
56,560,0.271458,0.27499518
57,570,0.28409645,0.29311895
58,580,0.26677015,0.27722013
59,590,0.28045866,0.29041207
60,600,0.2802626,0.3219933
61,610,0.26315486,0.27180272
62,620,0.26108682,0.3288355
63,630,0.2602447,0.26086733
64,640,0.2688883,0.25720286
65,650,0.25679433,0.26261353
66,660,0.255221,0.26376462
67,670,0.26284704,0.31116703
68,680,0.2647561,0.25643533
69,690,0.2551457,0.2817899
70,700,0.24883933,0.35610196
71,710,0.24690065,0.2548424
72,720,0.25130984,0.25290653
73,730,0.2856136,0.26039553
74,740,0.24332394,0.26711372
75,750,0.24088626,0.32471195
76,760,0.24177441,0.26870477
77,770,0.26762566,0.24572963
78,780,0.24890025,0.2547678
79,790,0.23628286,0.30574805
80,800,0.23557113,0.24195066
81,810,0.2873299,0.25426796
82,820,0.2790535,0.27281046
83,830,0.23182659,0.23624289
84,840,0.31834146,0.28489074
85,850,0.2311408,0.2681944
86,860,0.22686566,0.25880438
87,870,0.22514309,0.23799862
88,880,0.27415335,0.24419652
89,890,0.22348243,0.27717912
90,900,0.221712,0.23508877
91,910,0.31101575,0.23109528
92,920,0.23316981,0.22448567
93,930,0.22087587,0.225263
94,940,0.21838367,0.2344257
95,950,0.21538565,0.21986619
96,960,0.21484871,0.254299
97,970,0.21470594,0.242428
98,980,0.213748,0.26106945
99,990,0.2111768,0.21318838
100,1000,0.21051523,0.22049081
101,1010,0.21175271,0.30641213
102,1020,0.21868591,0.22726238
103,1030,0.2079775,0.23921654
104,1040,0.20545156,0.22683322
105,1050,0.22438864,0.22096954
106,1060,0.20408587,0.20479313
107,1070,0.20394629,0.22156222
108,1080,0.20212229,0.2220269
109,1090,0.20168382,0.20122688
110,1100,0.20105307,0.2069367
111,1110,0.21685492,0.2179985
112,1120,0.19827327,0.21525109
113,1130,0.19769992,0.20297064
114,1140,0.19557941,0.21374278
115,1150,0.19439586,0.25092703
116,1160,0.19241054,0.2093545
117,1170,0.19261096,0.19352736
118,1180,0.19085233,0.19713612
119,1190,0.18983218,0.23139296
120,1200,0.19024429,0.2272926
121,1210,0.1877179,0.22618458
122,1220,0.18866523,0.19165936
123,1230,0.1857964,0.18649054
124,1240,0.18664004,0.19186912
125,1250,0.18617934,0.18457198
126,1260,0.1844654,0.20258147
127,1270,0.18810862,0.2227638
128,1280,0.18154746,0.18230373
129,1290,0.22599575,0.23441738
130,1300,0.17978813,0.19868396
131,1310,0.17874505,0.20112225
132,1320,0.17838769,0.178953
133,1330,0.17775922,0.17778058
134,1340,0.1753063,0.17788132
135,1350,0.17571831,0.19282381
136,1360,0.17491727,0.19499254
137,1370,0.17362708,0.19090657
138,1380,0.17430857,0.19060716
139,1390,0.17462605,0.21543553
140,1400,0.17106944,0.17440112
141,1410,0.16996032,0.1703083
142,1420,0.1684201,0.17461358
143,1430,0.18232648,0.26929095
144,1440,0.16939647,0.18612775
145,1450,0.16707143,0.1672049
146,1460,0.16642396,0.20686479
147,1470,0.16787486,0.193799
148,1480,0.16504858,0.18172638
149,1490,0.163824,0.23164883
150,1500,0.16301718,0.1816008
151,1510,0.16257414,0.20294948
152,1520,0.18820712,0.18884242
153,1530,0.16173862,0.16053396
154,1540,0.17795616,0.1782256
155,1550,0.16161756,0.18975846
156,1560,0.15837361,0.17438777
157,1570,0.15817796,0.15816423
158,1580,0.1581527,0.18759069
159,1590,0.17666884,0.15728243
160,1600,0.15502635,0.15724652
161,1610,0.17547813,0.16108382
162,1620,0.15421627,0.15848695
163,1630,0.16209783,0.18522497
164,1640,0.15219074,0.182635
165,1650,0.16130617,0.15343705
166,1660,0.15523352,0.17495863
167,1670,0.15052992,0.14943561
168,1680,0.1521761,0.16109209
169,1690,0.14946713,0.17050679
170,1700,0.14768334,0.1491972
171,1710,0.14691359,0.2808134
172,1720,0.14689438,0.16727903
173,1730,0.14466055,0.15710054
174,1740,0.14426903,0.15991218
175,1750,0.14467606,0.16035396
176,1760,0.14364737,0.15839823
177,1770,0.14221145,0.15791407
178,1780,0.14290997,0.1439763
179,1790,0.14424762,0.14456397
180,1800,0.14593658,0.14220515
181,1810,0.13929819,0.1712199
182,1820,0.13856669,0.13880584
183,1830,0.13777092,0.16919883
184,1840,0.13806479,0.1725545
185,1850,0.13716672,0.14128701
186,1860,0.13654092,0.1367606
187,1870,0.13558885,0.13850343
188,1880,0.13518041,0.14181663
189,1890,0.13393846,0.1347339
190,1900,0.13399887,0.13351664
191,1910,0.14266422,0.15143035
192,1920,0.1322461,0.19152613
193,1930,0.13230546,0.17393088
194,1940,0.13168605,0.13126107
195,1950,0.13016321,0.1364334
196,1960,0.13054863,0.13030556
197,1970,0.14355709,0.12924264
198,1980,0.12802975,0.14608446
199,1990,0.12759508,0.142511
200,2000,0.12710783,0.12760958
201,2010,0.12667863,0.14097734
202,2020,0.13820912,0.14515689
203,2030,0.12573318,0.12863605
204,2040,0.14141428,0.12507167
205,2050,0.1408013,0.13893108
206,2060,0.12587897,0.12510182
207,2070,0.12606426,0.14626788
208,2080,0.12262875,0.14107415
